Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,County,Constituency,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation,Facility Type NAME
60,MBIUNI SUB-HEALTH CENTRE,991,EASTERN,MACHAKOS,MWALA,MBIUNI,MACHAKOS,YATTA,MBIUNI,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-1.24029000000, 37.39330000000)",Health Centre
63,MITABONI H C,1029,EASTERN,MACHAKOS,KATHIANI,MITABONI,MACHAKOS,YATTA,MITABONI,1:50000 MAPS,3,MOH,"(-1.36232400000, 37.23232500000)",Health Centre
69,MUMBUNI HEALTH CENTRE,999,EASTERN,MACHAKOS,MWALA,MBIUNI,MACHAKOS,YATTA,MUMBUNI(MACHAKOS),DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-1.27536000000, 37.44380000000)",Health Centre
72,MUTHETHENI HEALTH CENTRE,1030,EASTERN,MACHAKOS,YATHUI,MIU,MACHAKOS,YATTA,UTITHINI(YATHUI),DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-1.49991000000, 37.53790000000)",Health Centre
75,MWALA RHDC,1045,EASTERN,MACHAKOS,MWALA,MWALA,MACHAKOS,YATTA,MATHUNTHINI,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-1.35103000000, 37.47150000000)",Health Centre
90,THINU H C,1034,EASTERN,MACHAKOS,KATHIANI,MITABONI,MACHAKOS,YATTA,THINU,1:50000 MAPS,3,MOH,"(-1.42123300000, 37.27213200000)",Health Centre
92,WAMUNYU HEALTH CENTRE,1017,EASTERN,MACHAKOS,YATHUI,WAMUNYU,MACHAKOS,YATTA,KAMBITI(MACHAKOS),DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-1.40332000000, 37.56190000000)",Health Centre
6,KALAWA HEALTH CENTRE,1020,EASTERN,MAKUENI,KALAWA,KALAWA,MAKUENI,KIBWEZI WEST,KALAWA,GPS,3,MOH,"(-1.64506000000, 37.71162000000)",Health Centre
8,KALII SUB H C,946,EASTERN,MAKUENI,MAKINDU,TWAANDU,MAKUENI,KIBWEZI WEST,KALII,GPS,3,MOH,"(-2.10167000000, 37.76038000000)",Health Centre
9,KALULINI SUB HEALTH CENTRE,4229,EASTERN,MAKUENI,KIBWEZI,KIKUMBULYU,MAKUENI,KIBWEZI WEST,NGANDANI,GPS,3,MOH,"(-2.34879000000, 37.99387000000)",Health Centre
15,KATHONZWENI SUB H C,952,EASTERN,MAKUENI,KATHONZWENI,KATHONZWENI,MAKUENI,KIBWEZI WEST,ITUKA,GPS,3,MOH,"(-1.91277000000, 37.72884000000)",Health Centre
16,KATHULUMBI SUB H C,953,EASTERN,MAKUENI,KALAWA,KATHULUMBI,MAKUENI,KIBWEZI WEST,KATHULUMBI,GPS,3,MOH,"(-1.73039000000, 37.78815000000)",Health Centre
22,KIBWEZI HEALTH CENTRE,1023,EASTERN,MAKUENI,KIBWEZI,KIKUMBULYU,MAKUENI,KIBWEZI WEST,MIKUYUNI(MAKUENI),GPS,3,MOH,"(-2.40960000000, 37.96676000000)",Health Centre
25,KIKUMINI HEALTH CENTRE,959,EASTERN,MAKUENI,NGUU,ITHUMBA,MAKUENI,KIBWEZI WEST,KIKUMINI(ITHUMBA),GPS,3,MOH,"(-2.04329000000, 37.57379000000)",Health Centre
29,KISAU HEALTH CENTRE,965,EASTERN,MAKUENI,KISAU,KISAU,MAKUENI,KIBWEZI WEST,MANGANI,GPS,3,MOH,"(-1.62502000000, 37.55719000000)",Health Centre
34,KITISE HEALTH CENTRE,1024,EASTERN,MAKUENI,KATHONZWENI,KITISE,MAKUENI,KIBWEZI WEST,KITISE(MAKUENI),GPS,3,MOH,"(-2.05631000000, 37.87693000000)",Health Centre
46,MASONGALENI HEALTH CENTRE,1026,EASTERN,MAKUENI,KIBWEZI,MASONGALENI,MAKUENI,KIBWEZI WEST,MASIMBANI,GPS,3,MOH,"(-2.36843000000, 38.12828000000)",Health Centre
49,MATILIKU HEALTH CENTRE,1027,EASTERN,MAKUENI,MATILIKU,NZAUI,MAKUENI,KIBWEZI WEST,MATILIKU,GPS,3,MOH,"(-1.94649000000, 37.53499000000)",Health Centre
50,MAVINDINI HEALTH CENTRE,989,EASTERN,MAKUENI,KATHONZWENI,MAVINDINI,MAKUENI,KIBWEZI WEST,MAVINDINI,GPS,3,MOH,"(-1.81798000000, 37.78557000000)",Health Centre
57,MTITO ANDEI HEALTH CENTRE,1001,EASTERN,MAKUENI,MTITO ANDEI,MTITO-ANDEI,MAKUENI,KIBWEZI WEST,KATHEKANI,GPS,3,MOH,"(-2.67168800000, 38.16549000000)",Health Centre
58,MUKAA  A I C SUB-HEALTH CENTRE,996,EASTERN,MAKUENI,KILOME,MUKAA,MAKUENI,KIBWEZI WEST,KILOME,GPS,3,MISS,"(-1.83217000000, 37.32611000000)",Health Centre
59,MUKUYUNI HEALTH CENTRE,997,EASTERN,MAKUENI,KAITI,OKIA,MAKUENI,KIBWEZI WEST,MUKUNYUNI,GPS,3,MOH,"(-1.74542000000, 37.45857000000)",Health Centre
62,MUMO A I C  HEALTH CENTRE,3219,EASTERN,MAKUENI,KATHONZWENI,MBUVO,MAKUENI,KIBWEZI WEST,KITULUNI(MAKUENI),GPS,3,MISS,"(-2.00975000000, 37.77224000000)",Health Centre
63,MUTEMBUKU SUB HEALTH CENTRE,654,EASTERN,MAKUENI,KALAWA,KATHULUMBI,MAKUENI,KIBWEZI WEST,MUTEMBUKU,GPS,3,MOH,"(-1.69642000000, 37.81112000000)",Health Centre
64,MUTYAMBUA SUB HEALTH CENTRE,1003,EASTERN,MAKUENI,MBITINI,MUTYAMBUA,MAKUENI,KIBWEZI WEST,MUTISWA,GPS,3,MOH,"(-1.94467000000, 37.44551000000)",Health Centre
65,MUUA RURAL HEALTH CENTRE,0,EASTERN,MAKUENI,KILOME,KITAINGO,MAKUENI,KIBWEZI WEST,KIONGWANI,HD MAPS,3,MISS,"(-1.89966000000, 37.30930000000)",Health Centre
70,NGWATA SUB HEALTH CENTRE,1011,EASTERN,MAKUENI,MTITO ANDEI,NGWATA,MAKUENI,KIBWEZI WEST,MUKANGE,GPS,3,MOH,"(-2.52758000000, 38.04904000000)",Health Centre
74,NZEVENI SUB HEALTH CENTRE,3665,EASTERN,MAKUENI,MTITO ANDEI,NZAMBANI,MAKUENI,KIBWEZI WEST,MUTHINGIINI,GPS,3,MOH,"(-2.59171000000, 37.99668000000)",Health Centre
75,NZIU SUB HEALTH CENTRE,1012,EASTERN,MAKUENI,MATILIKU,KALAMBA,MAKUENI,KIBWEZI WEST,NZIU,GPS,3,MOH,"(-1.81368000000, 37.53664000000)",Health Centre
79,SULTAN HAMUD HEALTH CENTRE,1032,EASTERN,MAKUENI,KASIKEU,KIOU,MAKUENI,KIBWEZI WEST,SULTAN HAMUD(MAK),GPS,3,MOH,"(-2.01401000000, 37.38714000000)",Health Centre
81,TAWA DEMONSTRATION H C,1046,EASTERN,MAKUENI,KISAU,KITETA,MAKUENI,KIBWEZI WEST,KIAMBWA,GPS,3,MOH,"(-1.54532000000, 37.46568000000)",Health Centre
85,WATHINI ACK HC,0,EASTERN,MAKUENI,KASIKEU,KASIKEU,MAKUENI,KIBWEZI WEST,UVALENI,GPS,3,MISS,"(-1.88054000000, 37.35324000000)",Health Centre
8,ILLERET SUB HEALTH CENTRE,1053,EASTERN,MARSABIT,NORTH HORR,ILLERET,MARSABIT,NORTH HORR,ILLERET,DDP,3,MOH,"(4.04737000000, 36.43090000000)",Health Centre
26,NORTH HORR HEALTH CENTRE,1066,EASTERN,MARSABIT,NORTH HORR,NORTH HORR,MARSABIT,NORTH HORR,NORTH HORR,DDP,3,MISS,"(3.39515000000, 37.07570000000)",Health Centre
13,KIAMBERE HEALTH CENTRE,836,EASTERN,MBEERE,GACHOKA,KIAMBERE,EMBU,RUNYENJES,KIAMBERE,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-0.69148900000, 37.80070000000)",Health Centre
16,KIRITIRI HEALTH CENTRE,839,EASTERN,MBEERE,GACHOKA,KIANJIRU,EMBU,RUNYENJES,NYANGWA,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-0.67895200000, 37.64110000000)",Health Centre
9,KIMANGAO HEALTH CENTRE,921,EASTERN,MWINGI,KYUSO,KIMANGAO,KITUI,KITUI EAST,KIMU,DSA/DFH(MOH)-UNFPA REPORT,3,MISS,"(-0.53855500000, 38.14720000000)",Health Centre
17,KYUSO HEALTH CENTRE,891,EASTERN,MWINGI,KYUSO,KYUSO,KITUI,KITUI EAST,GAI,DSA/DFH(MOH)-UNFPA REPORT,3,MISS,"(-0.56939100000, 38.21760000000)",Health Centre
27,NGUNI HEALTH CENTRE,925,EASTERN,MWINGI,NGUNI,NGUNI,KITUI,KITUI EAST,MWASUMA,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-0.80286000000, 38.30900000000)",Health Centre
29,NUU HEALTH CENTRE,926,EASTERN,MWINGI,NUU,NUU,KITUI,KITUI EAST,NGAANI(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-1.06937000000, 38.36410000000)",Health Centre
32,TEI WA YESU PCEA HC,927,EASTERN,MWINGI,KYUSO,KYUSO,KITUI,KITUI EAST,GAI,DSA/DFH(MOH)-UNFPA REPORT,3,MISS,"(-0.60793500000, 38.19560000000)",Health Centre
37,TSEIKURU HEALTH CENTRE,928,EASTERN,MWINGI,TSEIKURU,TSEIKURU,KITUI,KITUI EAST,NZIITU,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,"(-0.31940300000, 38.20110000000)",Health Centre
1,AKACHIU H C (KANUNI H C),2516,EASTERN,NORTH MERU,IGEMBE S/WEST,AKACHIU,MERU,NORTH IMENTI,AUKI,1:50000 MAPS,3,MOH,"(0.20324000000, 37.90234000000)",Health Centre
18,LAARE HEALTH CENTRE,1169,EASTERN,NORTH MERU,LAARE,ANTUAMBUI,MERU,NORTH IMENTI,ANTUAMBUI,1:50000 MAPS,3,MOH,"(0.33692000000, 37.93910000000)",Health Centre
21,MBEU RURAL DEMONSTRATION UNIT,3431,EASTERN,NORTH MERU,URINGU,MBEU,MERU,NORTH IMENTI,MBEU(NMERU),1:50000 MAPS,3,MOH,"(0.08231000000, 37.80232000000)",Health Centre
29,MUTUATI H C,1149,EASTERN,NORTH MERU,MUTUATI,KABACHI,MERU,NORTH IMENTI,AMWATHI 1,1:50000 MAPS,3,MOH,"(0.38530500000, 37.97980000000)",Health Centre
15,KANJUKI HEALTH CENTRE,1092,EASTERN,SOUTH MERU,IGAMBANG'OMBE,KAJUKI,THARAKA - NITHI,MAARA,KAJUKI,1:50000 MAPS,3,MOH,"(-0.34231000000, 37.83232000000)",Health Centre
35,MPUKONI HEALTH CENTRE,1175,EASTERN,SOUTH MERU,MAGUMONI,KABUBONI,THARAKA - NITHI,MAARA,KANYAKINI,1:50000 MAPS,3,MOH,"(-0.38037600000, 37.66080000000)",Health Centre
41,MUTHAMBI HEALTH CENTRE,3296,EASTERN,SOUTH MERU,MUTHAMBI,GITINJE,THARAKA - NITHI,MAARA,CHAMUNGA,DHMT,3,MOH,"(-0.28000000000, 37.68000000000)",Health Centre
2,CHIAKARIGA HEALTH CENTRE,1165,EASTERN,THARAKA,SOUTH THARAKA,CHIAKARIGA,THARAKA - NITHI,MAARA,CHIAKARIGA,DHMT,3,MOH,"(-0.28000000000, 37.92000000000)",Health Centre
12,MUKOTHIMA H C,2705,EASTERN,THARAKA,NORTH THARAKA,THITI,THARAKA - NITHI,MAARA,THITI,DHMT,3,MISS,"(0.03000000000, 37.93000000000)",Health Centre
7,DAADAB SUB- HEALTH CENTRE,1191,N. EASTERN,GARISSA,JARAJILA,YUMBIS,GARISSA,BALAMBALA,YUMBIS,1:50000 MAPS,3,MOH,"(-0.08411000000, 40.21200000000)",Health Centre
14,HULUGHO SUB HEALTH CENTRE,1194,N. EASTERN,GARISSA,HULUGHO,HADI,GARISSA,BALAMBALA,HADI,1:50000 MAPS,3,MOH,"(-1.57508000000, 41.50610000000)",Health Centre
16,IFTIN HEALTH CENTRE,4709,N. EASTERN,GARISSA,CENTRAL,BOUR-ALGI,TANA RIVER,GALOLE,BOUR-ALGI,TOWN PLAN(1:5000),3,MISS,"(-0.52509000000, 39.71380000000)",Health Centre
21,LIBOI HEALTH CENTRE,1205,N. EASTERN,GARISSA,LIBOI,LIBOI,GARISSA,BALAMBALA,LIBOI,1:50000 MAPS,3,MOH,"(0.34724000000, 40.83090000000)",Health Centre
23,MASALANI HEALTH CENTRE,1207,N. EASTERN,GARISSA,MASALANI,MASALANI,GARISSA,BALAMBALA,MUHUMED DAHIR,1:50000 MAPS,3,MOH,"(-1.65010000000, 40.29640000000)",Health Centre
25,MODOGASHE HEALTH CENTRE,1208,N. EASTERN,GARISSA,MODOGASHE,MODOGASHE,GARISSA,BALAMBALA,MODOGASHE,1:50000 MAPS,3,MOH,"(0.66606000000, 39.14300000000)",Health Centre
7,ELWAK HEALTH CENTRE,1212,N. EASTERN,MANDERA,ELWAK,ELWAK SOUTH,MANDERA,MANDERA SOUTH,ELWAK SOUTH,DDP,3,MOH,"(2.78490600000, 40.93545700000)",Health Centre
15,TAKABA HEALTH CENTRE,1214,N. EASTERN,MANDERA,TAKABA,TAKABA,MANDERA,MANDERA SOUTH,TAKABA,DDP,3,MOH,"(3.37287300000, 40.21507500000)",Health Centre
6,BUNA HEALTH CENTRE,1229,N. EASTERN,WAJIR,BUNA,BUNA,WAJIR,WAJIR WEST,BUNA,DDP,3,MOH,"(3.01923900000, 39.46178300000)",Health Centre
7,BUTE HEALTH CENTRE,1230,N. EASTERN,WAJIR,BUTE,BUTE,WAJIR,WAJIR WEST,BUTE,DDP,3,MOH,"(3.37839600000, 39.41198000000)",Health Centre
13,GRIFTU HEALTH CENTRE,1220,N. EASTERN,WAJIR,GRIFTU,GRIFTU,WAJIR,WAJIR WEST,GRIFTU,DDP,3,MOH,"(2.04256000000, 39.78070000000)",Health Centre
15,HABASWEIN HEALTH CENTRE,1222,N. EASTERN,WAJIR,HABASWEIN,HABASWEIN,WAJIR,WAJIR WEST,HABASWEIN,DDP,3,MOH,"(0.96901600000, 39.50410300000)",Health Centre
16,HADADO HEALTH CENTRE,3953,N. EASTERN,WAJIR,HADADO,HADADO NORTH,WAJIR,WAJIR WEST,HADADO NORTH,DDP,3,MOH,"(1.52121900000, 39.44942400000)",Health Centre
17,KHOROF HARAR H C,1223,N. EASTERN,WAJIR,WAJIR-BOR,KHOROF-HARAR,WAJIR,WAJIR WEST,KHOROF-HARAR,DDP,3,MOH,"(2.07565800000, 40.53262600000)",Health Centre
21,TARBAJ HEALTH CENTRE,1225,N. EASTERN,WAJIR,TARBAJ,TARBAJ,WAJIR,WAJIR WEST,TARBAJ,DDP,3,MOH,"(2.15208500000, 40.09833000000)",Health Centre
3,APTC  EMBAKASI HEALTH CENTRE,56,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,NAIROBI,KAMUKUNJI,MIHANGO,GPS,3,LA,"(-1.28724000000, 36.95676000000)",Health Centre
4,AYANY ESTATE HEALTH CENTRE,2541,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,NAIROBI,KAMUKUNJI,OLYMPIC,GPS,3,LA,"(-1.30508000000, 36.77192000000)",Health Centre
5,BABA DOGO HEALTH CENTRE,2542,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,NAIROBI,KAMUKUNJI,BABA DOGO,GPS,3,LA,"(-1.24410000000, 36.88416000000)",Health Centre
7,BAHATI HEALTH CENTRE,131,NAIROBI,NAIROBI,PUMWANI,BAHATI,NAIROBI,KAMUKUNJI,KIMATHI(NAIROBI),GPS,3,LA,"(-1.28668200000, 36.86162400000)",Health Centre
13,CALIFORNIA HC,2546,NAIROBI,NAIROBI,PUMWANI,EASTLEIGH SOUTH,NAIROBI,KAMUKUNJI,EASTLEIGH SOUTH,DISTRICT ESTIMATES,3,LA,"(-1.28334000000, 36.85212000000)",Health Centre
15,CHARLES NEW ROAD HC,8,NAIROBI,NAIROBI,MAKADARA,MAKADARA,NAIROBI,KAMUKUNJI,HARAMBEE,DISTRICT ESTIMATES,3,LA,"(-1.28315000000, 36.87223000000)",Health Centre
22,DANDORA 2 HEALTH CENTRE,2550,NAIROBI,NAIROBI,EMBAKASI,DANDORA,NAIROBI,KAMUKUNJI,DANDORA 'B',GPS,3,LA,"(-1.24474000000, 36.90223000000)",Health Centre
23,DANDORA HEALTH CENTRE,132,NAIROBI,NAIROBI,EMBAKASI,DANDORA,NAIROBI,KAMUKUNJI,DANDORA 'A',GPS,3,LA,"(-1.25761000000, 36.88775000000)",Health Centre
26,EASTLEIGH HEALTH CENTRE,12,NAIROBI,NAIROBI,PUMWANI,EASTLEIGH NORTH,NAIROBI,KAMUKUNJI,AIRBASE,GPS,3,LA,"(-1.26869000000, 36.85029000000)",Health Centre
27,EASTLEIGH LINES HC,13,NAIROBI,NAIROBI,PUMWANI,EASTLEIGH NORTH,NAIROBI,KAMUKUNJI,AIRBASE,DISTRICT ESTIMATES,3,LA,"(-1.27223000000, 36.85121000000)",Health Centre
34,HIGHRIDGE HC,17,NAIROBI,NAIROBI,WESTLANDS,HIGHRIDGE,NAIROBI,KAMUKUNJI,HIGHRIDGE,GPS,3,LA,"(-1.25736000000, 36.81763000000)",Health Centre
35,HONO CRESCENT HC,18,NAIROBI,NAIROBI,PUMWANI,BAHATI,NAIROBI,KAMUKUNJI,KIMATHI(NAIROBI),GPS,3,LA,"(-1.28773000000, 36.85865000000)",Health Centre
36,HURUMA LIONS CLINIC,2678,NAIROBI,NAIROBI,CENTRAL,MATHARE,NAIROBI,KAMUKUNJI,MLANGO KUBWA,DISTRICT ESTIMATES,3,NGO,"(-1.26111000000, 36.85214000000)",Health Centre
40,INDUSTRIAL AREA PRISON HEALTH CENTRE,0,NAIROBI,NAIROBI,MAKADARA,VIWANDANI,NAIROBI,KAMUKUNJI,LANDI MAWE,GPS,3,MOH,"(-1.29805000000, 36.83661000000)",Health Centre
43,JERICHO HEALTH CENTRE,2630,NAIROBI,NAIROBI,MAKADARA,MAKADARA,NAIROBI,KAMUKUNJI,LUMUMBA,GPS,3,LA,"(-1.28896000000, 36.87117000000)",Health Centre
44,JERUSALEM HEALTH CENTRE,22,NAIROBI,NAIROBI,PUMWANI,BAHATI,NAIROBI,KAMUKUNJI,UHURU,GPS,3,LA,"(-1.28258000000, 36.86548000000)",Health Centre
48,KAHAWA HEALTH CENTRE,24,NAIROBI,NAIROBI,KASARANI,KAHAWA,NAIROBI,KAMUKUNJI,KONGO SOWETO,GPS,3,LA,"(-1.18716000000, 36.91278000000)",Health Centre
49,KALOLENI SHC,184,NAIROBI,NAIROBI,MAKADARA,MAKONGENI,NAIROBI,KAMUKUNJI,KALOLENI(NAIROBI),GPS,3,LA,"(-1.29282000000, 36.84534000000)",Health Centre
50,KAMITI HEALTH CENTRE,136,NAIROBI,NAIROBI,KASARANI,KAHAWA,NAIROBI,KAMUKUNJI,KAHAWA WEST/JUJA K,GPS,3,MOH,"(-1.17610000000, 36.89342000000)",Health Centre
51,KANGEMI HEALTH CENTRE,137,NAIROBI,NAIROBI,WESTLANDS,KANGEMI,NAIROBI,KAMUKUNJI,KANGEMI,GPS,3,LA,"(-1.26461000000, 36.74933000000)",Health Centre
52,KAREN HEALTH CENTRE,138,NAIROBI,NAIROBI,KIBERA,KAREN,NAIROBI,KAMUKUNJI,LENANA,GPS,3,LA,"(-1.32211000000, 36.70876000000)",Health Centre
55,KARIOBANGI HEALTH CENTRE,139,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,NAIROBI,KAMUKUNJI,KARIOBANGI NORTH,GPS,3,LA,"(-1.25174000000, 36.87978000000)",Health Centre
58,KASARANI SHC,185,NAIROBI,NAIROBI,KASARANI,KASARANI,NAIROBI,KAMUKUNJI,KASARANI,GPS,3,LA,"(-1.21821000000, 36.90139000000)",Health Centre
61,KAWANGWARE HEALTH CENTRE,2635,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,NAIROBI,KAMUKUNJI,KAWANGWARE,GPS,3,LA,"(-1.28405000000, 36.74052000000)",Health Centre
62,KAYOLE HEALTH CENTRE,2636,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,NAIROBI,KAMUKUNJI,KAYOLE,GPS,3,MOH,"(-1.26649000000, 36.91668000000)",Health Centre
68,LADY NORTH HEALTH CENTRE,2647,NAIROBI,NAIROBI,WESTLANDS,KILIMANI,NAIROBI,KAMUKUNJI,KILIMANI(NAIROBI),GPS,3,MOH,"(-1.28551000000, 36.81064000000)",Health Centre
69,LAGOS HC,28,NAIROBI,NAIROBI,CENTRAL,STAREHE,NAIROBI,KAMUKUNJI,CITY CENTRE,GPS,3,LA,"(-1.28012000000, 36.82310000000)",Health Centre
70,LANGATA HEALTH CENTRE,141,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,NAIROBI,KAMUKUNJI,BOMAS,GPS,3,MOH,"(-1.31814000000, 36.77830000000)",Health Centre
74,LOCO HEALTH CENTRE,98,NAIROBI,NAIROBI,MAKADARA,VIWANDANI,NAIROBI,KAMUKUNJI,LANDI MAWE,GPS,3,MOH,"(-1.29131000000, 36.82667000000)",Health Centre
75,LOWER KABETE SHC,186,NAIROBI,NAIROBI,WESTLANDS,KITISURU,NAIROBI,KAMUKUNJI,KITISURU,GPS,3,LA,"(-1.23768000000, 36.74470000000)",Health Centre
76,LUNGA LUNGA HEALTH CENTRE,3351,NAIROBI,NAIROBI,MAKADARA,VIWANDANI,NAIROBI,KAMUKUNJI,VIWANDANI,GPS,3,LA,"(-1.30783000000, 36.86157000000)",Health Centre
77,MAKADARA HC,32,NAIROBI,NAIROBI,MAKADARA,MAKADARA,NAIROBI,KAMUKUNJI,HAMZA,GPS,3,LA,"(-1.29431000000, 36.87226000000)",Health Centre
79,MAKONGENI HC,33,NAIROBI,NAIROBI,MAKADARA,MAKONGENI,NAIROBI,KAMUKUNJI,MAKONGENI(NAIROBI),GPS,3,LA,"(-1.29394000000, 36.84754000000)",Health Centre
82,MARINGO HC,34,NAIROBI,NAIROBI,MAKADARA,MARINGO,NAIROBI,KAMUKUNJI,OFAFA MARINGO,GPS,3,LA,"(-1.28894000000, 36.86451000000)",Health Centre
85,MATHARE NORTH HEALTH CENTRE,2656,NAIROBI,NAIROBI,KASARANI,RUARAKA,NAIROBI,KAMUKUNJI,UTALII,GPS,3,LA,"(-1.25323000000, 36.86485000000)",Health Centre
94,NAIROBI SOUTH B HEALTH CENTRE,39,NAIROBI,NAIROBI,MAKADARA,MUKURU NYAYO,NAIROBI,KAMUKUNJI,NAIROBI SOUTH,GPS,3,MOH,"(-1.30948300000, 36.83693800000)",Health Centre
97,NGARA HEALTH CENTRE,143,NAIROBI,NAIROBI,CENTRAL,NGARA,NAIROBI,KAMUKUNJI,NGARA EAST,GPS,3,LA,"(-1.27077000000, 36.83046000000)",Health Centre
98,NGONG ROAD SHC,187,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,NAIROBI,KAMUKUNJI,WOODLEY,GPS,3,LA,"(-1.29896000000, 36.75760000000)",Health Centre
99,NYS HEALTH CENTRE,106,NAIROBI,NAIROBI,KASARANI,RUARAKA,NAIROBI,KAMUKUNJI,UTALII,GPS,3,MOH,"(-1.24995000000, 36.86425000000)",Health Centre
100,NYS PUBLIC HEALTH,4381,NAIROBI,NAIROBI,KASARANI,RUARAKA,NAIROBI,KAMUKUNJI,UTALII,GPS,3,MOH,"(-1.24995000000, 36.86425000000)",Health Centre
101,OFAFA JERICHO SHC,188,NAIROBI,NAIROBI,MAKADARA,MAKADARA,NAIROBI,KAMUKUNJI,LUMUMBA,GPS,3,LA,"(-1.28902400000, 36.87107100000)",Health Centre
102,OFAFA NAIROBI HC,41,NAIROBI,NAIROBI,MAKADARA,MAKADARA,NAIROBI,KAMUKUNJI,LUMUMBA,GPS,3,LA,"(-1.28875200000, 36.87048300000)",Health Centre
104,PANGANI HC,42,NAIROBI,NAIROBI,CENTRAL,KARIOKOR,NAIROBI,KAMUKUNJI,PANGANI,GPS,3,LA,"(-1.26741000000, 36.83815000000)",Health Centre
109,RHODES AVENUE & CHEST & T. HEALTH CENTRE,48,NAIROBI,NAIROBI,CENTRAL,STAREHE,NAIROBI,KAMUKUNJI,CITY SQUARE,GPS,3,LA,"(-1.28894000000, 36.82251000000)",Health Centre
111,RIRUTA HEALTH CENTRE,144,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,NAIROBI,KAMUKUNJI,KAWANGWARE,GPS,3,LA,"(-1.28405000000, 36.74052000000)",Health Centre
128,UMOJA HEALTH CENTRE,145,NAIROBI,NAIROBI,EMBAKASI,UMOJA,NAIROBI,KAMUKUNJI,UMOJA,GPS,3,LA,"(-1.27931000000, 36.88726000000)",Health Centre
132,WAITHAKA HEALTH CENTRE,147,NAIROBI,NAIROBI,DAGORETTI,WAITHAKA,NAIROBI,KAMUKUNJI,WAITHAKA,GPS,3,LA,"(-1.27885000000, 36.71516000000)",Health Centre
135,WESTLANDS HEALTH CENTRE,148,NAIROBI,NAIROBI,WESTLANDS,PARKLANDS,NAIROBI,KAMUKUNJI,UPPER PARKLANDS,GPS,3,LA,"(-1.26066500000, 36.80175100000)",Health Centre
1,ABIDHA HC,1343,NYANZA,BONDO,RARIEDA,EAST ASEMBO,SIAYA,UGENYA,OMIA MWALO,GPS,3,MOH,"(-0.15902000000, 34.41064000000)",Health Centre
6,GOT AGULU HEALTH CENTRE,1346,NYANZA,BONDO,USIGU,WEST YIMBO,SIAYA,UGENYA,GOT AGULU,GPS,3,MOH,"(-0.03410000000, 34.02480000000)",Health Centre
9,KAGWA SDA HC,0,NYANZA,BONDO,MADIANY,WEST UYOMA,SIAYA,UGENYA,KAGWA(BONDO),GPS,3,MISS,"(-0.22469000000, 34.25637000000)",Health Centre
11,MADIANY HEALTH CENTRE,1368,NYANZA,BONDO,MADIANY,EAST UYOMA,SIAYA,UGENYA,WEST KATWENG'A,GPS,3,MOH,"(-0.28134000000, 34.32240000000)",Health Centre
15,MANYUANDA HEALTH CENTRE,1350,NYANZA,BONDO,MADIANY,WEST UYOMA,SIAYA,UGENYA,KOKWIRI,GPS,3,MOH,"(-0.25252000000, 34.27609000000)",Health Centre
23,SARADIDI HEALTH CENTRE,1385,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,SIAYA,UGENYA,MEMBA,GPS,3,MOH,"(-0.11288000000, 34.39692000000)",Health Centre
6,KENYENYA HC,1238,NYANZA,GUCHA,KENYENYA,MAJOGE MASABA,KISII,NYARIBARI CHACHE,KENYENYA,GPS,3,MOH,"(-0.88633300000, 34.72890000000)",Health Centre
14,MONIANKU HEALTH CENTRE,1243,NYANZA,GUCHA,ETAGO,S. MUGIRANGO BORABU,KISII,NYARIBARI CHACHE,MONIANKU,GPS,3,MISS,"(-0.96700000000, 34.68280000000)",Health Centre
16,NDURU HEALTH CENTRE,1271,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CENTRAL,KISII,NYARIBARI CHACHE,BOMONYAMA,GPS,3,MOH,"(-0.80782000000, 34.62814000000)",Health Centre
17,NYACHEKI HEALTH CENTRE,1246,NYANZA,GUCHA,NYACHEKI,BASSI BORABU,KISII,NYARIBARI CHACHE,ISENA,GPS,3,MOH,"(-0.89071000000, 34.87720000000)",Health Centre
19,NYAMACHE HEALTH CENTRE,1259,NYANZA,GUCHA,NYAMACHE,BASSI CENTRAL,KISII,NYARIBARI CHACHE,NYOERA,GPS,3,MOH,"(-0.85352000000, 34.82805000000)",Health Centre
